Name,Rarity,Class,Type,Global release,Japan release,Global EZA release,Japan EZA release,Global EZA,Japan EZA,HP 55%,ATK 55%,DEF 55%,HP 100%,ATK 100%,DEF 100%,HP 55% EZA,ATK 55% EZA,DEF 55% EZA,HP 100% EZA,ATK 100% EZA,DEF 100% EZA,Categories,ID,Url
A Friend's Decision Hercule/Majin Buu (Good),UR,Super,AGL,2020-09-15,2020-09-15,2020-09-15,2020-09-15,Yes,Yes,8803,8750,5018,10363,10550,7058,11368,11297,6306,12928,13097,8346,"World Tournament, Majin Buu Saga, Earthlings, Saviors, Gifted Warriors, Bond of Friendship",12077,https://dbz-dokkanbattle.fandom.com/wiki/A_Friend%27s_Decision_Hercule/Majin_Buu_(Good)
A Lesson in Good and Evil Gowasu & Zamasu,UR,Super,PHY,2019-11-12,2019-04-26,na,na,No,No,11167,10797,7193,14567,13797,9793,na,na,na,na,na,na,"Realm of Gods, Potara, Future Saga, Joined Forces, Time Travelers, Bond of Master and Disciple",11702,https://dbz-dokkanbattle.fandom.com/wiki/A_Lesson_in_Good_and_Evil_Gowasu_%26_Zamasu
A New Destination Ultimate Gohan,UR,Super,TEQ,2019-03-15,2018-10-19,na,na,No,No,10307,9433,5816,11867,11473,7616,na,na,na,na,na,na,"Hybrid Saiyans, Majin Buu Saga, Goku's Family, Siblings' Bond, Revenge, Rapid Growth, Saviors, Powerful Comeback, Entrusted Will, Bond of Parent and Child, Earth-Bred Fighters, Power of Wishes",11472,https://dbz-dokkanbattle.fandom.com/wiki/A_New_Destination_Ultimate_Gohan
A New Friend in Space Pan (GT) (Honey),UR,Super,STR,2018-04-02,2017-10-24,na,na,No,No,10677,8473,5968,12477,10513,7528,na,na,na,na,na,na,"Hybrid Saiyans, Dragon Ball Seekers, Goku's Family, Youth, Space-Traveling Warriors, GT Heroes, Bond of Friendship, Bond of Parent and Child, Earth-Bred Fighters",11210,https://dbz-dokkanbattle.fandom.com/wiki/A_New_Friend_in_Space_Pan_(GT)_(Honey)
A Promise to Master Super Saiyan Cabba,UR,Super,INT,2021-12-03,2021-10-05,na,na,No,No,12507,10389,7041,15507,13389,10041,na,na,na,na,na,na,"Universe Survival Saga, Pure Saiyans, Universe 6, Super Saiyans, Bond of Master and Disciple, Defenders of Justice",12286,https://dbz-dokkanbattle.fandom.com/wiki/A_Promise_to_Master_Super_Saiyan_Cabba
A Shot at Victory Piccolo,UR,Super,STR,2019-04-03,2018-10-31,2022-09-09,2022-09-09,Yes,Yes,11366,10133,6424,14366,13533,9024,14525,12876,7916,17525,16276,10516,"Namekians, Movie Heroes, Worthy Rivals, Bond of Master and Disciple, Battle of Wits, Gifted Warriors, Fused Fighters, Earth-Bred Fighters",11529,https://dbz-dokkanbattle.fandom.com/wiki/A_Shot_at_Victory_Piccolo
A True Master's Dignity Piccolo,UR,Super,PHY,2016-05-23,2016-01-19,2020-03-17,2019-11-14,Yes,Yes,11083,8767,7456,14083,11767,10456,13621,11020,8699,16621,14020,11699,"Namekians, Worthy Rivals, Bond of Master and Disciple, Battle of Wits, Gifted Warriors, Earth-Bred Fighters",1558,https://dbz-dokkanbattle.fandom.com/wiki/A_True_Master%27s_Dignity_Piccolo
A Warrior's Awareness Super Saiyan Gohan (Youth),UR,Super,STR,na,2023-07-31,na,na,No,No,21227,7964,5705,24227,11364,8305,na,na,na,na,na,na,"Hybrid Saiyans, Goku's Family, Youth, Super Saiyans, Androids-Cell Saga, Bond of Master and Disciple, Rapid Growth, Heavenly Events, Mastered Evolution, Entrusted Will, Bond of Parent and Child, Earth-Bred Fighters",12706,https://dbz-dokkanbattle.fandom.com/wiki/A_Warrior%27s_Awareness_Super_Saiyan_Gohan_(Youth)
A Will Beyond Time Super Saiyan Trunks (Future),UR,Super,PHY,2017-05-17,2016-12-20,2019-03-25,2019-03-18,Yes,Yes,11205,9985,6577,14605,12985,9177,13804,12363,7737,17204,15363,10337,"Hybrid Saiyans, Future Saga, Time Travelers, Vegeta's Family, Super Saiyans, Bond of Master and Disciple, Revenge, Battle of Wits, Entrusted Will, Battle of Fate, Bond of Parent and Child, Earth-Bred Fighters, Super Heroes",1970,https://dbz-dokkanbattle.fandom.com/wiki/A_Will_Beyond_Time_Super_Saiyan_Trunks_(Future)
Absolute Defiance Android 18,UR,Extreme,AGL,2019-09-02,2019-09-02,na,na,No,No,9630,8424,4967,11190,10224,7007,na,na,na,na,na,na,"Peppy Gals, Androids, Siblings' Bond, Androids-Cell Saga, Target: Goku, Battle of Wits",11784,https://dbz-dokkanbattle.fandom.com/wiki/Absolute_Defiance_Android_18
